curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
88,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
89,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
90,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
91,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
92,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
93,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
94,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
95,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
96,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
97,0.7280805687203792,['H1DS5', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,16
98,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
99,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
100,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
101,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
102,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
103,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
104,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
105,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
106,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
107,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
108,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
109,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
110,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
111,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
112,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
113,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
114,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
115,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
116,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
117,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
118,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
119,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
120,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
121,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
122,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
123,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
124,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
125,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
126,0.7292654028436019,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1DS6', 'H2WP7', 'H2WP13', 'H1GH19', 'H2PF27', 'H1TO50', 'H1DS6', 'H1IR12', 'H1PF34', 'H1EE5', 'S62E', 'H2TO26', 'H2FS19', 'H1WP10', 'S60O', 'H1TO3', 'H2PF28', 'H1PF32', 'H1FS8', 'H2PF31', 'H1PF25', 'H2DS7', 'H1ED24', 'H2FS11', 'S62Q'],52,37,18
127,0.7292654028436019,['H1FS1', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'H1DS8', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],65,2,15
128,0.7298578199052133,['H1FS1', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'S45A', 'H2DS9', 'H1DS7', 'H1GH21', 'H1WP4', 'H1FS3'],63,2,16
129,0.7298578199052133,['H1PF35', 'H2FS6', 'H2PF32', 'H2FS2', 'H2DS14', 'H1ED16', 'H2PF1', 'H1GH18', 'H2TO11', 'S60M', 'H2FV3', 'H1PF26', 'H1DS11', 'H2FS8', 'H1FS7', 'H1TO9', 'H1TO3', 'H2PF24', 'H1FS7', 'H2PF30', 'H2FS1', 'S62M', 'H1EE7', 'H2PF15', 'H2PF14', 'H1WP1', 'H2GH24', 'H2FS12', 'H2FS14', 'H1FS6', 'H2PF12', 'PA21', 'H2TO26', 'S62H', 'H2TO28'],11,10,22
130,0.7298578199052133,['H1PF35', 'H2FS6', 'H2PF32', 'H2FS2', 'H2DS14', 'H1ED16', 'H2PF1', 'H1GH18', 'H2TO11', 'S60M', 'H2FV3', 'H1PF26', 'H1DS11', 'H2FS8', 'H1FS7', 'H1TO9', 'H1TO3', 'H2PF24', 'H1FS7', 'H2PF30', 'H2FS1', 'S62M', 'H1EE7', 'H2PF15', 'H2PF14', 'H1WP1', 'H2GH24', 'H2FS12', 'H2FS14', 'H1FS6', 'H2PF12', 'PA21', 'H2TO26', 'S62H', 'H2TO28'],11,10,22
131,0.7316350710900474,['H1FS1', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'S45A', 'H2DS9', 'H1DS7', 'H2DS2', 'H1WP4', 'H1FS3'],64,2,16
132,0.7316350710900474,['H1FS1', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'S45A', 'H2DS9', 'H1DS7', 'H2DS2', 'H1WP4', 'H1FS3'],64,2,16
133,0.7316350710900474,['H1FS1', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'S45A', 'H2DS9', 'H1DS7', 'H2DS2', 'H1WP4', 'H1FS3'],64,2,16
134,0.7316350710900474,['H1FS1', 'H1FS10', 'H2PF1', 'H1PF8', 'H2FS18', 'H1PF5', 'H1PF5', 'H2ED5', 'H2WP10', 'H2WP7', 'H2TO11', 'H1FS2', 'H1ED15', 'H1TO3', 'H1FS7', 'H1WP2', 'H1PF25', 'H2FS2', 'H2FS14', 'S62Q', 'H2PF14', 'H1WP14', 'H2TO28', 'H2GH24', 'H2ED17', 'H2PF25', 'H2PR5', 'S60K', 'H2WP1', 'S45A', 'H2DS9', 'H1DS7', 'H2DS2', 'H1WP4', 'H1FS3'],64,2,16
