curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
32,0.6996445497630331,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,75,6
33,0.6996445497630331,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,75,6
34,0.6996445497630331,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,75,6
35,0.6996445497630331,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,75,6
36,0.6996445497630331,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,75,6
37,0.6996445497630331,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,75,6
38,0.6996445497630331,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,75,6
39,0.6996445497630331,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,75,6
40,0.6996445497630331,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,75,6
41,0.6996445497630331,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,75,6
42,0.6996445497630331,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,75,6
43,0.6996445497630331,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,75,6
44,0.6996445497630331,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,75,6
45,0.6996445497630331,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,75,6
46,0.6996445497630331,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,75,6
47,0.6996445497630331,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,75,6
48,0.6996445497630331,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,75,6
49,0.6996445497630331,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,75,6
50,0.6996445497630331,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],3,75,6
51,0.7008293838862559,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,75,5
52,0.7008293838862559,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,75,5
53,0.7008293838862559,['H1TO9', 'H1PF34', 'H2DS10', 'H2GH22', 'H2TO1', 'H2FS7', 'H1PF24', 'H2SE4', 'H2ED16', 'H1FS4', 'H2PF26', 'H2FS8', 'H1PF26', 'H2PF22', 'H1PF14', 'H2PF10', 'H1FS12', 'H1DA6', 'H2WP7', 'H2ED16', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H2ED17', 'H1WP1', 'H2WP10', 'H1FS14', 'H2TO28', 'H1PF33'],2,75,5
