curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
48,0.7268957345971564,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2ED14', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],18,10,13
49,0.7268957345971564,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2ED14', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],18,10,13
50,0.7268957345971564,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2ED14', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],18,10,13
51,0.7268957345971564,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2ED14', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],18,10,13
52,0.7268957345971564,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2ED14', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],18,10,13
53,0.7268957345971564,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2ED14', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],18,10,13
54,0.7268957345971564,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2ED14', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],18,10,13
55,0.7268957345971564,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2ED14', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],18,10,13
56,0.7268957345971564,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2ED14', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],18,10,13
57,0.7268957345971564,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2ED14', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],18,10,13
58,0.7268957345971564,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2ED14', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],18,10,13
59,0.7268957345971564,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2ED14', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],18,10,13
60,0.7274881516587678,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FS13', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],87,2,11
61,0.7274881516587678,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FS13', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],87,2,11
62,0.7274881516587678,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FS13', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],87,2,11
63,0.7274881516587678,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FS13', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],87,2,11
64,0.7274881516587678,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FS13', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],87,2,11
65,0.7274881516587678,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FS13', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],87,2,11
66,0.7274881516587678,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FS13', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],87,2,11
67,0.7274881516587678,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FS13', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],87,2,11
68,0.7274881516587678,['H2TO11', 'H1TO1', 'S60K', 'H1TO9', 'H2PF26', 'H1FS18', 'H1PF26', 'H2FS13', 'H1DS5', 'S62E', 'H2FV7', 'H1TO3', 'H2PR3', 'H1PF23', 'S45A', 'H2DS4', 'PA56', 'H2EE12', 'H2FS18', 'H1DS11'],87,2,11
69,0.7274881516587678,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2FS12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],17,11,14
70,0.7274881516587678,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2FS12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],17,11,14
71,0.7274881516587678,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2FS12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],17,11,14
72,0.7274881516587678,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2FS12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],17,11,14
73,0.7274881516587678,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2FS12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],17,11,14
74,0.7274881516587678,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2FS12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],17,11,14
75,0.7274881516587678,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2FS12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],17,11,14
76,0.7274881516587678,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2FS12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],17,11,14
77,0.7274881516587678,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2FS12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],17,11,14
78,0.7274881516587678,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2DS2', 'H2FS12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'H2FS4', 'H1FS3', 'H2GH45', 'H1FS17', 'S60O'],17,11,14
