curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
64,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
65,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
66,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
67,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
68,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
69,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
70,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
71,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
72,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
73,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
74,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
75,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
76,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
77,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
78,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
79,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
80,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
81,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
82,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
83,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
84,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
85,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
86,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
87,0.7251184834123223,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PR4', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,4
88,0.7251184834123223,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PR4', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,4
89,0.7251184834123223,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PR4', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,4
90,0.7251184834123223,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PR4', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,4
91,0.7251184834123223,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PR4', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,4
92,0.7251184834123223,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PR4', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,4
93,0.7251184834123223,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PR4', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,4
94,0.7251184834123223,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PR4', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,4
95,0.7251184834123223,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PR4', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,4
96,0.7251184834123223,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PR4', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,4
97,0.7251184834123223,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PR4', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,4
98,0.7251184834123223,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PR4', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,4
99,0.7251184834123223,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PR4', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,4
100,0.7251184834123223,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PR4', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,4
101,0.7251184834123223,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PR4', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,4
102,0.7251184834123223,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PR4', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,4
103,0.7251184834123223,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PR4', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,4
104,0.7251184834123223,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PR4', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,4
105,0.7251184834123223,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PR4', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,4
106,0.7251184834123223,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PR4', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,4
107,0.7251184834123223,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PR4', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,4
108,0.7251184834123223,['H1GH22', 'H2GH26', 'H2FS9', 'H1TO3', 'H2ED13', 'H2PF7', 'H2WP2', 'S62B', 'H1PF10', 'H2ED17'],55,40,8
109,0.7251184834123223,['H1GH22', 'H2GH26', 'H2FS9', 'H1TO3', 'H2ED13', 'H2PF7', 'H2WP2', 'S62B', 'H1PF10', 'H2ED17'],55,40,8
110,0.7251184834123223,['H1GH22', 'H2GH26', 'H2FS9', 'H1TO3', 'H2ED13', 'H2PF7', 'H2WP2', 'S62B', 'H1PF10', 'H2ED17'],55,40,8
111,0.7251184834123223,['H1GH22', 'H2GH26', 'H2FS9', 'H1TO3', 'H2ED13', 'H2PF7', 'H2WP2', 'S62B', 'H1PF10', 'H2ED17'],55,40,8
112,0.7251184834123223,['H1GH22', 'H2GH26', 'H2FS9', 'H1TO3', 'H2ED13', 'H2PF7', 'H2WP2', 'S62B', 'H1PF10', 'H2ED17'],55,40,8
113,0.7251184834123223,['H1GH22', 'H2GH26', 'H2FS9', 'H1TO3', 'H2ED13', 'H2PF7', 'H2WP2', 'S62B', 'H1PF10', 'H2ED17'],55,40,8
114,0.7251184834123223,['H1GH22', 'H2GH26', 'H2FS9', 'H1TO3', 'H2ED13', 'H2PF7', 'H2WP2', 'S62B', 'H1PF10', 'H2ED17'],55,40,8
115,0.7251184834123223,['H1GH22', 'H2GH26', 'H2FS9', 'H1TO3', 'H2ED13', 'H2PF7', 'H2WP2', 'S62B', 'H1PF10', 'H2ED17'],55,40,8
116,0.7251184834123223,['H1GH22', 'H2GH26', 'H2FS9', 'H1TO3', 'H2ED13', 'H2PF7', 'H2WP2', 'S62B', 'H1PF10', 'H2ED17'],55,40,8
117,0.7251184834123223,['H1GH22', 'H2GH26', 'H2FS9', 'H1TO3', 'H2ED13', 'H2PF7', 'H2WP2', 'S62B', 'H1PF10', 'H2ED17'],55,40,8
118,0.7251184834123223,['H1GH22', 'H2GH26', 'H2FS9', 'H1TO3', 'H2ED13', 'H2PF7', 'H2WP2', 'S62B', 'H1PF10', 'H2ED17'],55,40,8
119,0.7251184834123223,['H1GH22', 'H2GH26', 'H2FS9', 'H1TO3', 'H2ED13', 'H2PF7', 'H2WP2', 'S62B', 'H1PF10', 'H2ED17'],55,40,8
120,0.7251184834123223,['H1GH22', 'H2GH26', 'H2FS9', 'H1TO3', 'H2ED13', 'H2PF7', 'H2WP2', 'S62B', 'H1PF10', 'H2ED17'],55,40,8
121,0.7251184834123223,['H1GH22', 'H2GH26', 'H2FS9', 'H1TO3', 'H2ED13', 'H2PF7', 'H2WP2', 'S62B', 'H1PF10', 'H2ED17'],55,40,8
122,0.7251184834123223,['H1GH22', 'H2GH26', 'H2FS9', 'H1TO3', 'H2ED13', 'H2PF7', 'H2WP2', 'S62B', 'H1PF10', 'H2ED17'],55,40,8
123,0.7251184834123223,['H1GH22', 'H2GH26', 'H2FS9', 'H1TO3', 'H2ED13', 'H2PF7', 'H2WP2', 'S62B', 'H1PF10', 'H2ED17'],55,40,8
124,0.7251184834123223,['H1GH22', 'H2GH26', 'H2FS9', 'H1TO3', 'H2ED13', 'H2PF7', 'H2WP2', 'S62B', 'H1PF10', 'H2ED17'],55,40,8
125,0.7251184834123223,['H1GH22', 'H2GH26', 'H2FS9', 'H1TO3', 'H2ED13', 'H2PF7', 'H2WP2', 'S62B', 'H1PF10', 'H2ED17'],55,40,8
126,0.7268957345971564,['H1PF34', 'H1TO3', 'H1TS3', 'H2TO11', 'H1EE7', 'H1RM14', 'H2PF10', 'PC40', 'H1PF16', 'H1GH19'],73,8,9
127,0.7268957345971564,['H1PF34', 'H1TO3', 'H1TS3', 'H2TO11', 'H1EE7', 'H1RM14', 'H2PF10', 'PC40', 'H1PF16', 'H1GH19'],73,8,9
128,0.7268957345971564,['H1PF34', 'H1TO3', 'H1TS3', 'H2TO11', 'H1EE7', 'H1RM14', 'H2PF10', 'PC40', 'H1PF16', 'H1GH19'],73,8,9
129,0.7268957345971564,['H1PF34', 'H1TO3', 'H1TS3', 'H2TO11', 'H1EE7', 'H1RM14', 'H2PF10', 'PC40', 'H1PF16', 'H1GH19'],73,8,9
