curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
40,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
41,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
42,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
43,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
44,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
45,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
46,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
47,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
48,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
49,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
50,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
51,0.7233412322274881,['H1GH28', 'H2PR3', 'H2PF32', 'H2GH30', 'H2ED17', 'H2PF27', 'H2FS13', 'H2FS12', 'H2FS3', 'H2PF30', 'H1GH22', 'H2PF15', 'H2DS3', 'H1FS12', 'H1TO3', 'H2FV4', 'H2WP9', 'H2FS4', 'S59E', 'H2PF16'],77,88,14
52,0.7233412322274881,['H1GH28', 'H2PR3', 'H2PF32', 'H2GH30', 'H2ED17', 'H2PF27', 'H2FS13', 'H2FS12', 'H2FS3', 'H2PF30', 'H1GH22', 'H2PF15', 'H2DS3', 'H1FS12', 'H1TO3', 'H2FV4', 'H2WP9', 'H2FS4', 'S59E', 'H2PF16'],77,88,14
53,0.7233412322274881,['H1GH28', 'H2PR3', 'H2PF32', 'H2GH30', 'H2ED17', 'H2PF27', 'H2FS13', 'H2FS12', 'H2FS3', 'H2PF30', 'H1GH22', 'H2PF15', 'H2DS3', 'H1FS12', 'H1TO3', 'H2FV4', 'H2WP9', 'H2FS4', 'S59E', 'H2PF16'],77,88,14
54,0.7233412322274881,['H1GH28', 'H2PR3', 'H2PF32', 'H2GH30', 'H2ED17', 'H2PF27', 'H2FS13', 'H2FS12', 'H2FS3', 'H2PF30', 'H1GH22', 'H2PF15', 'H2DS3', 'H1FS12', 'H1TO3', 'H2FV4', 'H2WP9', 'H2FS4', 'S59E', 'H2PF16'],77,88,14
55,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
56,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
57,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
58,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
59,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
60,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
61,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
62,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
63,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
64,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
65,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
66,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
67,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
68,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
69,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
70,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
71,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
72,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
73,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
74,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
75,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
76,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
77,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
78,0.7239336492890995,['H2TO28', 'H2DS12', 'H1PF16', 'H1PF5', 'S60L', 'H1ED9', 'H2FS17', 'H1PF14', 'H2TO1', 'H1WP3', 'H2DS11', 'H2ED5', 'H2FS10', 'H2FS8', 'H2TO11', 'H1TO3', 'H2PF24', 'H1TO3', 'H2TO29', 'H2WP9'],68,3,12
