curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
84,0.7298578199052133,['H1GH17', 'H1FS6', 'H2FV7', 'H2PF9', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H2PF8', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2ED3', 'H2WP13', 'H1TO3', 'H2PR3', 'H2PF30', 'H1WP5', 'H2TO30', 'H1TO1', 'S60M', 'H1PF23', 'H1GH20', 'H1FS4', 'H2FV6', 'H1EE7', 'S62R', 'H1EE7', 'H2DS5', 'H1DS11', 'H1GH22', 'H1PF34', 'H1PF25', 'H2FS15', 'H1ED24', 'H1DS8'],85,14,19
85,0.7298578199052133,['H1GH17', 'H1FS6', 'H2FV7', 'H2PF9', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H2PF8', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2ED3', 'H2WP13', 'H1TO3', 'H2PR3', 'H2PF30', 'H1WP5', 'H2TO30', 'H1TO1', 'S60M', 'H1PF23', 'H1GH20', 'H1FS4', 'H2FV6', 'H1EE7', 'S62R', 'H1EE7', 'H2DS5', 'H1DS11', 'H1GH22', 'H1PF34', 'H1PF25', 'H2FS15', 'H1ED24', 'H1DS8'],85,14,19
86,0.7298578199052133,['H1GH17', 'H1FS6', 'H2FV7', 'H2PF9', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H2PF8', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2ED3', 'H2WP13', 'H1TO3', 'H2PR3', 'H2PF30', 'H1WP5', 'H2TO30', 'H1TO1', 'S60M', 'H1PF23', 'H1GH20', 'H1FS4', 'H2FV6', 'H1EE7', 'S62R', 'H1EE7', 'H2DS5', 'H1DS11', 'H1GH22', 'H1PF34', 'H1PF25', 'H2FS15', 'H1ED24', 'H1DS8'],85,14,19
87,0.7298578199052133,['H1GH17', 'H1FS6', 'H2FV7', 'H2PF9', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H2PF8', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2ED3', 'H2WP13', 'H1TO3', 'H2PR3', 'H2PF30', 'H1WP5', 'H2TO30', 'H1TO1', 'S60M', 'H1PF23', 'H1GH20', 'H1FS4', 'H2FV6', 'H1EE7', 'S62R', 'H1EE7', 'H2DS5', 'H1DS11', 'H1GH22', 'H1PF34', 'H1PF25', 'H2FS15', 'H1ED24', 'H1DS8'],85,14,19
88,0.7298578199052133,['H1GH17', 'H1FS6', 'H2FV7', 'H2PF9', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H2PF8', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2ED3', 'H2WP13', 'H1TO3', 'H2PR3', 'H2PF30', 'H1WP5', 'H2TO30', 'H1TO1', 'S60M', 'H1PF23', 'H1GH20', 'H1FS4', 'H2FV6', 'H1EE7', 'S62R', 'H1EE7', 'H2DS5', 'H1DS11', 'H1GH22', 'H1PF34', 'H1PF25', 'H2FS15', 'H1ED24', 'H1DS8'],85,14,19
89,0.7298578199052133,['H1GH17', 'H1FS6', 'H2FV7', 'H2PF9', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H2PF8', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2ED3', 'H2WP13', 'H1TO3', 'H2PR3', 'H2PF30', 'H1WP5', 'H2TO30', 'H1TO1', 'S60M', 'H1PF23', 'H1GH20', 'H1FS4', 'H2FV6', 'H1EE7', 'S62R', 'H1EE7', 'H2DS5', 'H1DS11', 'H1GH22', 'H1PF34', 'H1PF25', 'H2FS15', 'H1ED24', 'H1DS8'],85,14,19
90,0.7298578199052133,['H1GH17', 'H1FS6', 'H2FV7', 'H2PF9', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H2PF8', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2ED3', 'H2WP13', 'H1TO3', 'H2PR3', 'H2PF30', 'H1WP5', 'H2TO30', 'H1TO1', 'S60M', 'H1PF23', 'H1GH20', 'H1FS4', 'H2FV6', 'H1EE7', 'S62R', 'H1EE7', 'H2DS5', 'H1DS11', 'H1GH22', 'H1PF34', 'H1PF25', 'H2FS15', 'H1ED24', 'H1DS8'],85,14,19
91,0.7298578199052133,['H1GH17', 'H1FS6', 'H2FV7', 'H2PF9', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H2PF8', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2ED3', 'H2WP13', 'H1TO3', 'H2PR3', 'H2PF30', 'H1WP5', 'H2TO30', 'H1TO1', 'S60M', 'H1PF23', 'H1GH20', 'H1FS4', 'H2FV6', 'H1EE7', 'S62R', 'H1EE7', 'H2DS5', 'H1DS11', 'H1GH22', 'H1PF34', 'H1PF25', 'H2FS15', 'H1ED24', 'H1DS8'],85,14,19
92,0.7298578199052133,['H1GH17', 'H1FS6', 'H2FV7', 'H2PF9', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H2PF8', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2ED3', 'H2WP13', 'H1TO3', 'H2PR3', 'H2PF30', 'H1WP5', 'H2TO30', 'H1TO1', 'S60M', 'H1PF23', 'H1GH20', 'H1FS4', 'H2FV6', 'H1EE7', 'S62R', 'H1EE7', 'H2DS5', 'H1DS11', 'H1GH22', 'H1PF34', 'H1PF25', 'H2FS15', 'H1ED24', 'H1DS8'],85,14,19
93,0.7298578199052133,['H1GH17', 'H1FS6', 'H2FV7', 'H2PF9', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H2PF8', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2ED3', 'H2WP13', 'H1TO3', 'H2PR3', 'H2PF30', 'H1WP5', 'H2TO30', 'H1TO1', 'S60M', 'H1PF23', 'H1GH20', 'H1FS4', 'H2FV6', 'H1EE7', 'S62R', 'H1EE7', 'H2DS5', 'H1DS11', 'H1GH22', 'H1PF34', 'H1PF25', 'H2FS15', 'H1ED24', 'H1DS8'],85,14,19
94,0.7298578199052133,['H1GH17', 'H1FS6', 'H2FV7', 'H2PF9', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H2PF8', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2ED3', 'H2WP13', 'H1TO3', 'H2PR3', 'H2PF30', 'H1WP5', 'H2TO30', 'H1TO1', 'S60M', 'H1PF23', 'H1GH20', 'H1FS4', 'H2FV6', 'H1EE7', 'S62R', 'H1EE7', 'H2DS5', 'H1DS11', 'H1GH22', 'H1PF34', 'H1PF25', 'H2FS15', 'H1ED24', 'H1DS8'],85,14,19
95,0.7298578199052133,['H1GH17', 'H1FS6', 'H2FV7', 'H2PF9', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H2PF8', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2ED3', 'H2WP13', 'H1TO3', 'H2PR3', 'H2PF30', 'H1WP5', 'H2TO30', 'H1TO1', 'S60M', 'H1PF23', 'H1GH20', 'H1FS4', 'H2FV6', 'H1EE7', 'S62R', 'H1EE7', 'H2DS5', 'H1DS11', 'H1GH22', 'H1PF34', 'H1PF25', 'H2FS15', 'H1ED24', 'H1DS8'],85,14,19
96,0.7298578199052133,['H1GH17', 'H1FS6', 'H2FV7', 'H2PF9', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H2PF8', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2ED3', 'H2WP13', 'H1TO3', 'H2PR3', 'H2PF30', 'H1WP5', 'H2TO30', 'H1TO1', 'S60M', 'H1PF23', 'H1GH20', 'H1FS4', 'H2FV6', 'H1EE7', 'S62R', 'H1EE7', 'H2DS5', 'H1DS11', 'H1GH22', 'H1PF34', 'H1PF25', 'H2FS15', 'H1ED24', 'H1DS8'],85,14,19
97,0.7298578199052133,['H1GH17', 'H1FS6', 'H2FV7', 'H2PF9', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H2PF8', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2ED3', 'H2WP13', 'H1TO3', 'H2PR3', 'H2PF30', 'H1WP5', 'H2TO30', 'H1TO1', 'S60M', 'H1PF23', 'H1GH20', 'H1FS4', 'H2FV6', 'H1EE7', 'S62R', 'H1EE7', 'H2DS5', 'H1DS11', 'H1GH22', 'H1PF34', 'H1PF25', 'H2FS15', 'H1ED24', 'H1DS8'],85,14,19
98,0.7298578199052133,['H1GH17', 'H1FS6', 'H2FV7', 'H2PF9', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H2PF8', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2ED3', 'H2WP13', 'H1TO3', 'H2PR3', 'H2PF30', 'H1WP5', 'H2TO30', 'H1TO1', 'S60M', 'H1PF23', 'H1GH20', 'H1FS4', 'H2FV6', 'H1EE7', 'S62R', 'H1EE7', 'H2DS5', 'H1DS11', 'H1GH22', 'H1PF34', 'H1PF25', 'H2FS15', 'H1ED24', 'H1DS8'],85,14,19
99,0.7298578199052133,['H1GH17', 'H1FS6', 'H2FV7', 'H2PF9', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H2PF8', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2ED3', 'H2WP13', 'H1TO3', 'H2PR3', 'H2PF30', 'H1WP5', 'H2TO30', 'H1TO1', 'S60M', 'H1PF23', 'H1GH20', 'H1FS4', 'H2FV6', 'H1EE7', 'S62R', 'H1EE7', 'H2DS5', 'H1DS11', 'H1GH22', 'H1PF34', 'H1PF25', 'H2FS15', 'H1ED24', 'H1DS8'],85,14,19
100,0.7298578199052133,['H1GH17', 'H1FS6', 'H2FV7', 'H2PF9', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H2PF8', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2ED3', 'H2WP13', 'H1TO3', 'H2PR3', 'H2PF30', 'H1WP5', 'H2TO30', 'H1TO1', 'S60M', 'H1PF23', 'H1GH20', 'H1FS4', 'H2FV6', 'H1EE7', 'S62R', 'H1EE7', 'H2DS5', 'H1DS11', 'H1GH22', 'H1PF34', 'H1PF25', 'H2FS15', 'H1ED24', 'H1DS8'],85,14,19
101,0.7298578199052133,['H1GH17', 'H1FS6', 'H2FV7', 'H2PF9', 'H2DS14', 'H1FS13', 'H1DS13', 'H1WP6', 'H2PF8', 'H1ED20', 'H1WP4', 'H2GH25', 'H1FS16', 'H1FS15', 'H2PR5', 'H2TO1', 'H2ED3', 'H2WP13', 'H1TO3', 'H2PR3', 'H2PF30', 'H1WP5', 'H2TO30', 'H1TO1', 'S60M', 'H1PF23', 'H1GH20', 'H1FS4', 'H2FV6', 'H1EE7', 'S62R', 'H1EE7', 'H2DS5', 'H1DS11', 'H1GH22', 'H1PF34', 'H1PF25', 'H2FS15', 'H1ED24', 'H1DS8'],85,14,19
102,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1FS14', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H2ED3', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'PA56', 'H1ED15'],29,95,19
103,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1FS14', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H2ED3', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'PA56', 'H1ED15'],29,95,19
104,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1FS14', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H2ED3', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'PA56', 'H1ED15'],29,95,19
105,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1FS14', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H2ED3', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'PA56', 'H1ED15'],29,95,19
106,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1FS14', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H2ED3', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'PA56', 'H1ED15'],29,95,19
107,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1FS14', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H2ED3', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'PA56', 'H1ED15'],29,95,19
108,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1FS14', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H2ED3', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'PA56', 'H1ED15'],29,95,19
109,0.7298578199052133,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1FS14', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H2ED3', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'PA56', 'H1ED15'],29,95,19
110,0.7298578199052133,['H2FS4', 'H1DS6', 'H1FS6', 'H2FS17', 'H1ED24', 'H1PF14', 'H2FS8', 'H2PF34', 'H1IR3', 'H2WP5', 'H2PF7', 'H2ED3', 'S62E', 'H1RF14', 'H2PF17', 'H2WP4', 'H1WP10', 'H1PF24', 'H1TO3', 'S62B', 'H2FV3', 'H1PF2', 'H1FS18', 'H2GH22', 'H2PF12', 'H1DS9', 'S60O', 'H2GH24', 'H1WP6', 'H1GH18', 'H1TO12', 'H2PR5', 'H1FS4', 'H2FS11', 'H2WP6', 'H2SE4', 'H1PF16', 'H2GH26', 'S45C', 'H2PF15'],10,10,10
111,0.7298578199052133,['H2FS4', 'H1DS6', 'H1FS6', 'H2FS17', 'H1ED24', 'H1PF14', 'H2FS8', 'H2PF34', 'H1IR3', 'H2WP5', 'H2PF7', 'H2ED3', 'S62E', 'H1RF14', 'H2PF17', 'H2WP4', 'H1WP10', 'H1PF24', 'H1TO3', 'S62B', 'H2FV3', 'H1PF2', 'H1FS18', 'H2GH22', 'H2PF12', 'H1DS9', 'S60O', 'H2GH24', 'H1WP6', 'H1GH18', 'H1TO12', 'H2PR5', 'H1FS4', 'H2FS11', 'H2WP6', 'H2SE4', 'H1PF16', 'H2GH26', 'S45C', 'H2PF15'],10,10,10
112,0.7298578199052133,['H2FS4', 'H1DS6', 'H1FS6', 'H2FS17', 'H1ED24', 'H1PF14', 'H2FS8', 'H2PF34', 'H1IR3', 'H2WP5', 'H2PF7', 'H2ED3', 'S62E', 'H1RF14', 'H2PF17', 'H2WP4', 'H1WP10', 'H1PF24', 'H1TO3', 'S62B', 'H2FV3', 'H1PF2', 'H1FS18', 'H2GH22', 'H2PF12', 'H1DS9', 'S60O', 'H2GH24', 'H1WP6', 'H1GH18', 'H1TO12', 'H2PR5', 'H1FS4', 'H2FS11', 'H2WP6', 'H2SE4', 'H1PF16', 'H2GH26', 'S45C', 'H2PF15'],10,10,10
113,0.7298578199052133,['H2FS4', 'H1DS6', 'H1FS6', 'H2FS17', 'H1ED24', 'H1PF14', 'H2FS8', 'H2PF34', 'H1IR3', 'H2WP5', 'H2PF7', 'H2ED3', 'S62E', 'H1RF14', 'H2PF17', 'H2WP4', 'H1WP10', 'H1PF24', 'H1TO3', 'S62B', 'H2FV3', 'H1PF2', 'H1FS18', 'H2GH22', 'H2PF12', 'H1DS9', 'S60O', 'H2GH24', 'H1WP6', 'H1GH18', 'H1TO12', 'H2PR5', 'H1FS4', 'H2FS11', 'H2WP6', 'H2SE4', 'H1PF16', 'H2GH26', 'S45C', 'H2PF15'],10,10,10
114,0.7298578199052133,['H2FS4', 'H1DS6', 'H1FS6', 'H2FS17', 'H1ED24', 'H1PF14', 'H2FS8', 'H2PF34', 'H1IR3', 'H2WP5', 'H2PF7', 'H2ED3', 'S62E', 'H1RF14', 'H2PF17', 'H2WP4', 'H1WP10', 'H1PF24', 'H1TO3', 'S62B', 'H2FV3', 'H1PF2', 'H1FS18', 'H2GH22', 'H2PF12', 'H1DS9', 'S60O', 'H2GH24', 'H1WP6', 'H1GH18', 'H1TO12', 'H2PR5', 'H1FS4', 'H2FS11', 'H2WP6', 'H2SE4', 'H1PF16', 'H2GH26', 'S45C', 'H2PF15'],10,10,10
115,0.7298578199052133,['H2FS4', 'H1DS6', 'H1FS6', 'H2FS17', 'H1ED24', 'H1PF14', 'H2FS8', 'H2PF34', 'H1IR3', 'H2WP5', 'H2PF7', 'H2ED3', 'S62E', 'H1RF14', 'H2PF17', 'H2WP4', 'H1WP10', 'H1PF24', 'H1TO3', 'S62B', 'H2FV3', 'H1PF2', 'H1FS18', 'H2GH22', 'H2PF12', 'H1DS9', 'S60O', 'H2GH24', 'H1WP6', 'H1GH18', 'H1TO12', 'H2PR5', 'H1FS4', 'H2FS11', 'H2WP6', 'H2SE4', 'H1PF16', 'H2GH26', 'S45C', 'H2PF15'],10,10,10
116,0.7298578199052133,['H2FS4', 'H1DS6', 'H1FS6', 'H2FS17', 'H1ED24', 'H1PF14', 'H2FS8', 'H2PF34', 'H1IR3', 'H2WP5', 'H2PF7', 'H2ED3', 'S62E', 'H1RF14', 'H2PF17', 'H2WP4', 'H1WP10', 'H1PF24', 'H1TO3', 'S62B', 'H2FV3', 'H1PF2', 'H1FS18', 'H2GH22', 'H2PF12', 'H1DS9', 'S60O', 'H2GH24', 'H1WP6', 'H1GH18', 'H1TO12', 'H2PR5', 'H1FS4', 'H2FS11', 'H2WP6', 'H2SE4', 'H1PF16', 'H2GH26', 'S45C', 'H2PF15'],10,10,10
117,0.7298578199052133,['H2FS4', 'H1DS6', 'H1FS6', 'H2FS17', 'H1ED24', 'H1PF14', 'H2FS8', 'H2PF34', 'H1IR3', 'H2WP5', 'H2PF7', 'H2ED3', 'S62E', 'H1RF14', 'H2PF17', 'H2WP4', 'H1WP10', 'H1PF24', 'H1TO3', 'S62B', 'H2FV3', 'H1PF2', 'H1FS18', 'H2GH22', 'H2PF12', 'H1DS9', 'S60O', 'H2GH24', 'H1WP6', 'H1GH18', 'H1TO12', 'H2PR5', 'H1FS4', 'H2FS11', 'H2WP6', 'H2SE4', 'H1PF16', 'H2GH26', 'S45C', 'H2PF15'],10,10,10
118,0.7298578199052133,['H2FS4', 'H1DS6', 'H1FS6', 'H2FS17', 'H1ED24', 'H1PF14', 'H2FS8', 'H2PF34', 'H1IR3', 'H2WP5', 'H2PF7', 'H2ED3', 'S62E', 'H1RF14', 'H2PF17', 'H2WP4', 'H1WP10', 'H1PF24', 'H1TO3', 'S62B', 'H2FV3', 'H1PF2', 'H1FS18', 'H2GH22', 'H2PF12', 'H1DS9', 'S60O', 'H2GH24', 'H1WP6', 'H1GH18', 'H1TO12', 'H2PR5', 'H1FS4', 'H2FS11', 'H2WP6', 'H2SE4', 'H1PF16', 'H2GH26', 'S45C', 'H2PF15'],10,10,10
119,0.7298578199052133,['H2FS4', 'H1DS6', 'H1FS6', 'H2FS17', 'H1ED24', 'H1PF14', 'H2FS8', 'H2PF34', 'H1IR3', 'H2WP5', 'H2PF7', 'H2ED3', 'S62E', 'H1RF14', 'H2PF17', 'H2WP4', 'H1WP10', 'H1PF24', 'H1TO3', 'S62B', 'H2FV3', 'H1PF2', 'H1FS18', 'H2GH22', 'H2PF12', 'H1DS9', 'S60O', 'H2GH24', 'H1WP6', 'H1GH18', 'H1TO12', 'H2PR5', 'H1FS4', 'H2FS11', 'H2WP6', 'H2SE4', 'H1PF16', 'H2GH26', 'S45C', 'H2PF15'],10,10,10
120,0.7298578199052133,['H2FS4', 'H1DS6', 'H1FS6', 'H2FS17', 'H1ED24', 'H1PF14', 'H2FS8', 'H2PF34', 'H1IR3', 'H2WP5', 'H2PF7', 'H2ED3', 'S62E', 'H1RF14', 'H2PF17', 'H2WP4', 'H1WP10', 'H1PF24', 'H1TO3', 'S62B', 'H2FV3', 'H1PF2', 'H1FS18', 'H2GH22', 'H2PF12', 'H1DS9', 'S60O', 'H2GH24', 'H1WP6', 'H1GH18', 'H1TO12', 'H2PR5', 'H1FS4', 'H2FS11', 'H2WP6', 'H2SE4', 'H1PF16', 'H2GH26', 'S45C', 'H2PF15'],10,10,10
121,0.7298578199052133,['H2FS4', 'H1DS6', 'H1FS6', 'H2FS17', 'H1ED24', 'H1PF14', 'H2FS8', 'H2PF34', 'H1IR3', 'H2WP5', 'H2PF7', 'H2ED3', 'S62E', 'H1RF14', 'H2PF17', 'H2WP4', 'H1WP10', 'H1PF24', 'H1TO3', 'S62B', 'H2FV3', 'H1PF2', 'H1FS18', 'H2GH22', 'H2PF12', 'H1DS9', 'S60O', 'H2GH24', 'H1WP6', 'H1GH18', 'H1TO12', 'H2PR5', 'H1FS4', 'H2FS11', 'H2WP6', 'H2SE4', 'H1PF16', 'H2GH26', 'S45C', 'H2PF15'],10,10,10
122,0.7298578199052133,['H2FS4', 'H1DS6', 'H1FS6', 'H2FS17', 'H1ED24', 'H1PF14', 'H2FS8', 'H2PF34', 'H1IR3', 'H2WP5', 'H2PF7', 'H2ED3', 'S62E', 'H1RF14', 'H2PF17', 'H2WP4', 'H1WP10', 'H1PF24', 'H1TO3', 'S62B', 'H2FV3', 'H1PF2', 'H1FS18', 'H2GH22', 'H2PF12', 'H1DS9', 'S60O', 'H2GH24', 'H1WP6', 'H1GH18', 'H1TO12', 'H2PR5', 'H1FS4', 'H2FS11', 'H2WP6', 'H2SE4', 'H1PF16', 'H2GH26', 'S45C', 'H2PF15'],10,10,10
123,0.7298578199052133,['H2FS4', 'H1DS6', 'H1FS6', 'H2FS17', 'H1ED24', 'H1PF14', 'H2FS8', 'H2PF34', 'H1IR3', 'H2WP5', 'H2PF7', 'H2ED3', 'S62E', 'H1RF14', 'H2PF17', 'H2WP4', 'H1WP10', 'H1PF24', 'H1TO3', 'S62B', 'H2FV3', 'H1PF2', 'H1FS18', 'H2GH22', 'H2PF12', 'H1DS9', 'S60O', 'H2GH24', 'H1WP6', 'H1GH18', 'H1TO12', 'H2PR5', 'H1FS4', 'H2FS11', 'H2WP6', 'H2SE4', 'H1PF16', 'H2GH26', 'S45C', 'H2PF15'],10,10,10
124,0.7298578199052133,['H2FS4', 'H1DS6', 'H1FS6', 'H2FS17', 'H1ED24', 'H1PF14', 'H2FS8', 'H2PF34', 'H1IR3', 'H2WP5', 'H2PF7', 'H2ED3', 'S62E', 'H1RF14', 'H2PF17', 'H2WP4', 'H1WP10', 'H1PF24', 'H1TO3', 'S62B', 'H2FV3', 'H1PF2', 'H1FS18', 'H2GH22', 'H2PF12', 'H1DS9', 'S60O', 'H2GH24', 'H1WP6', 'H1GH18', 'H1TO12', 'H2PR5', 'H1FS4', 'H2FS11', 'H2WP6', 'H2SE4', 'H1PF16', 'H2GH26', 'S45C', 'H2PF15'],10,10,10
125,0.7298578199052133,['H2FS4', 'H1DS6', 'H1FS6', 'H2FS17', 'H1ED24', 'H1PF14', 'H2FS8', 'H2PF34', 'H1IR3', 'H2WP5', 'H2PF7', 'H2ED3', 'S62E', 'H1RF14', 'H2PF17', 'H2WP4', 'H1WP10', 'H1PF24', 'H1TO3', 'S62B', 'H2FV3', 'H1PF2', 'H1FS18', 'H2GH22', 'H2PF12', 'H1DS9', 'S60O', 'H2GH24', 'H1WP6', 'H1GH18', 'H1TO12', 'H2PR5', 'H1FS4', 'H2FS11', 'H2WP6', 'H2SE4', 'H1PF16', 'H2GH26', 'S45C', 'H2PF15'],10,10,10
