curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
57,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
58,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
59,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
60,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
61,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
62,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
63,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
64,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
65,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
66,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
67,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
68,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
69,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
70,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
71,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
72,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
73,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
74,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
75,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
76,0.7020142180094787,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1ED17', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2DS5', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],5,96,4
