curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
93,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
94,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
95,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
96,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
97,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
98,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
99,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
100,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
101,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
102,0.7020142180094787,['H1TO9', 'H1ED18', 'H2DS10', 'H2WP10', 'H2TO1', 'H2FS7', 'H1PF10', 'H1PF5', 'H2ED17', 'H2FS17', 'H2PF26', 'H2FS8', 'H1PF26', 'H1ED2', 'H1PF14'],2,72,5
