curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
37,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
38,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
39,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
40,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
41,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
42,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
43,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
44,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
45,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
46,0.7097156398104265,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H1GH52', 'H2GH25', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H1ED18', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],21,66,2
