curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
41,0.7215639810426541,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H2WP9', 'H2WP2'],71,51,16
42,0.7215639810426541,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H2WP9', 'H2WP2'],71,51,16
43,0.7215639810426541,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H2WP9', 'H2WP2'],71,51,16
44,0.7215639810426541,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H2WP9', 'H2WP2'],71,51,16
45,0.7215639810426541,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H2WP9', 'H2WP2'],71,51,16
46,0.7215639810426541,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H2WP9', 'H2WP2'],71,51,16
47,0.7215639810426541,['H2DS2', 'H2DS13', 'H2TO1', 'H2TO27', 'H2ED15', 'H1TO3', 'H1PF36', 'H1FS12', 'H2GH27', 'H1DS8', 'H1ED19', 'PA21', 'H1WP5', 'H2TO15', 'PA56', 'S62E', 'H1TO9', 'H1TS3', 'H2WP5', 'H2DS1', 'H2DS14', 'H2PF15', 'H2PF9', 'H2WP9', 'H2WP2'],71,51,16
48,0.7227488151658767,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1GH22', 'H2PF17', 'H1FS8', 'H1ED18', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2FS1', 'H1FS7', 'H1WP2', 'H2PF24', 'H1EE7', 'H1FS17', 'H1PF14', 'H2WP7'],25,75,14
49,0.7227488151658767,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1GH22', 'H2PF17', 'H1FS8', 'H1ED18', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2FS1', 'H1FS7', 'H1WP2', 'H2PF24', 'H1EE7', 'H1FS17', 'H1PF14', 'H2WP7'],25,75,14
50,0.7227488151658767,['H1PF34', 'H2DS6', 'H2PF21', 'H1DS13', 'H2FV1', 'S60K', 'H1SE4', 'H2WP13', 'H1DS11', 'H1GH22', 'H2PF17', 'H1FS8', 'H1ED18', 'H2ED16', 'H2PF5', 'H2DS5', 'H1TO3', 'H2FS1', 'H1FS7', 'H1WP2', 'H2PF24', 'H1EE7', 'H1FS17', 'H1PF14', 'H2WP7'],25,75,14
