curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
108,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
109,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
110,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
111,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
112,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
113,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
114,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
115,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
116,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
117,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
118,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
119,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
120,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
121,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
122,0.7031990521327014,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H2WP14', 'H1PF26', 'H1SE4', 'H1RF14', 'H2PF10'],4,62,3
