curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
47,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
48,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
49,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
50,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
51,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
52,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
53,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
54,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
55,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
56,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
57,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
58,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
59,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
60,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
