AID	PTNR_ID	H4TR13	H4TR14	H4TR15	H4TR16	H4TR17	H4TR18	H4TR19	H4TR20	H4TR21	H4TR22	H4TR23	H4TR24
57275660	1	4	7	7	7	97	97	1	22	7	97	0	1
57277289	1	3	0	7	7	97	1	2	24	7	97	0	2
57277289	2	4	7	7	7	97	97	2	29	7	97	0	2
57277289	3	5	7	7	7	97	97	2	26	7	97	0	2
57277290	1	1	1	1	1	1	97	1	28	7	97	0	1
57279640	1	1	1	1	1	1	1	2	29	7	97	1	5
88122937	1	2	0	7	7	1	97	2	25	7	97	0	1
88122937	2	4	7	7	7	97	97	2	25	7	97	0	1
88149345	1	1	1	1	1	1	5	1	31	7	97	1	1
88183732	1	1	1	1	1	1	1	2	25	7	97	0	1
88191219	1	2	1	7	7	1	97	2	27	7	97	0	1
88191364	1	1	1	1	1	1	97	2	32	7	97	0	5
88202138	1	2	1	7	7	1	0	1	40	7	97	0	2
88202138	2	3	0	7	7	97	2	1	40	7	97	0	2
88239382	1	2	0	7	7	3	97	2	30	7	97	0	1
88249047	1	1	1	1	0	97	2	1	34	7	97	0	2
88251811	1	5	7	7	7	97	97	2	32	7	97	0	1
88268811	1	2	0	7	7	2	0	2	29	7	97	0	2
88268811	2	2	0	7	7	2	0	2	27	7	97	0	1
88268811	3	3	0	7	7	97	1	2	29	7	97	0	2
90316053	1	2	0	7	7	1	97	1	26	7	97	0	1
90316053	2	2	0	7	7	1	97	1	28	7	97	1	3
90316656	1	2	0	7	7	1	97	2	29	7	97	1	5
90316656	2	2	1	7	7	1	97	2	23	7	97	0	5
90500059	1	1	1	1	0	97	97	1	31	7	97	1	1
90500459	1	3	0	7	7	97	1	1	30	7	97	0	2
90500516	1	1	1	1	1	1	2	1	36	7	97	0	1
90500516	2	2	0	7	7	1	1	1	34	7	97	0	1
90500516	3	2	0	7	7	1	0	1	37	7	97	0	1
90500516	4	3	0	7	7	97	1	1	41	7	97	0	1
90500638	1	1	1	1	1	1	1	2	25	7	97	0	2
90500638	2	2	0	7	7	1	0	2	27	7	97	0	2
90500638	3	3	0	7	7	97	1	2	29	7	97	0	2
90500914	1	1	1	1	1	1	2	2	34	7	97	0	5
90500974	1	2	1	7	7	1	97	2	23	7	97	0	1
90500974	2	2	0	7	7	2	97	2	28	7	97	0	1
90503807	1	1	1	1	0	97	1	2	26	7	97	0	1
90503807	2	2	0	7	7	1	2	2	26	7	97	0	4
90504005	1	1	1	1	1	1	2	2	28	7	97	0	2
90504104	1	2	1	7	7	1	97	1	28	7	97	0	2
90504142	1	1	0	1	1	1	2	1	35	7	97	0	1
90504142	2	2	1	7	7	1	2	1	40	7	97	1	5
90504220	1	1	1	1	1	1	2	2	29	7	97	0	1
90504248	1	2	0	7	7	1	2	2	33	7	97	1	5
90504248	2	2	0	7	7	1	1	2	29	7	97	1	5
90504280	1	1	1	1	0	97	1	2	26	7	97	0	1
90504280	2	2	0	7	7	1	0	2	26	7	97	0	1
90504500	1	3	0	7	7	97	1	1	26	7	97	0	2
90504500	2	4	7	7	7	97	97	1	33	7	97	0	2
90504504	1	2	0	7	7	1	97	1	26	7	97	0	2
