AID	CLUSTER2	GSWGT4	GSWGT4_2	GSWGT134
97716098	278	3510.007628607	2833.672983958	3237.684335446
97716153	272	6233.973916609	4740.185110476	5839.925262919
97716160	274	4110.857790827	2712.643431239	3546.003746336
97716162	274	4773.723622018	3759.088660265	4520.898471175
97716186	273	7128.667952618	5815.262903524	6675.638253745
97716316	275	6234.559525722	4909.430011155	5904.365828446
97716318	275	6478.266367149	5554.230103129	6057.851848973
97716335	277	11775.912016085	8954.160467723	11031.558199726
97716338	277	6606.014406666	5663.756628666	6177.309533102
97716880	273	 	5815.262903524	6675.638253745
97716884	273	7049.243023413	6043.764733641	6591.774320949
97716908	276	 	4379.461039669	4776.562307298
97716931	277	 	3106.781679716	 
97716973	280	653.221778987	471.140445239	623.077039154
97716975	280	822.161216395	619.052459264	744.508461917
97716976	280	 	524.398988111	571.948104552
97716977	280	755.118110923	600.482061025	739.796078926
97717059	292	11769.969573344	8949.641956901	11025.991377991
97717162	294	 	3196.453742567	4178.447051167
97717867	294	4980.756547696	4360.938633613	4799.684652113
97717958	292	7442.695358921	6071.433051818	6969.70909281
97717964	294	4743.194178035	3829.239882678	4375.194334349
97718040	259	7526.660917828	6453.085482535	7038.209634119
97718048	259	9423.277360959	7165.265629246	8827.633265057
97718109	256	3762.296633172	3037.349047383	3470.399544219
97718125	251	 	4834.454200427	 
97718145	259	 	6245.597549521	 
97718147	259	6741.649106042	5308.739825055	6384.599015354
97718185	253	1470.814568124	1299.879993795	1430.658530189
97718192	258	4648.467524539	3985.427087274	4346.799898692
97718212	255	 	4994.386950716	6777.713808516
97718215	255	5732.271294984	4676.142139908	5367.983162069
97718277	260	8312.133537312	7126.521155147	7772.70810803
97718289	253	 	992.010557903	 
97718300	256	3762.296633172	3037.349047383	3470.399544219
97718314	255	3645.176955578	2942.796869324	3362.366575166
97718375	260	8312.133537312	7126.521155147	7772.70810803
97718886	253	6517.879828793	5706.778414571	6280.926899155
97718888	253	1244.164229382	1089.337292942	1198.933515278
97718910	255	3645.176955578	2942.796869324	3362.366575166
97718948	259	 	6245.597549521	 
97718960	254	3752.697977415	3029.599932743	3461.545598395
97718990	258	4648.467524539	3985.427087274	4346.799898692
97718993	258	7920.376786488	6236.933873966	7500.899117832
97719278	210	8118.388856757	6622.634953524	7602.461998673
97719936	207	2176.049283661	1756.751756497	2007.220902156
98316359	472	631.436640813	509.766684143	582.446745735
98316456	472	7369.651323066	5603.730772424	6903.816653099
98500013	145	12119.268189664	8889.321355906	10624.878174978
98500035	147	5811.236935757	4284.907455013	5410.362107942
98500210	145	12119.268189664	8889.321355906	10624.878174978
98500373	150	 	4747.385302935	 
98500510	145	7466.393285497	5472.980665378	6725.058530167
98500558	142	 	4553.953841041	 
98500631	147	5547.945845898	4396.524982009	5124.218501818
98500636	147	 	6450.393647386	 
98500659	142	 	3940.931726033	4809.396423818
98500831	147	 	5083.315054559	6817.240280965
98500910	145	 	5028.724504761	6744.028825242
98500927	141	 	3882.011417601	5206.170446488
98500979	150	 	4083.994977248	 
98500988	143	7882.945549794	5778.319856797	7100.251511724
98503002	186	 	4148.600998313	5728.234443018
98503032	187	 	3389.445860675	4693.962361443
98503337	187	 	4072.103966247	 
98504005	166	1380.016618357	1086.699866141	1306.928409376
98504108	166	4930.758555623	3508.780229877	4761.647115002
98504249	169	 	4121.503267023	4987.382144108
98504280	163	 	9810.846412579	13157.338594272
98504304	166	 	981.844958966	1195.23138321
98504306	166	 	6879.196968851	 
98504406	166	 	708.535707978	978.319835578
98504524	161	8239.135464181	6538.706890138	7697.439401138
98504600	166	 	737.240584936	908.283076816
98504629	161	 	6250.748331911	 
98504703	166	 	1420.481037491	 
98504801	166	 	1158.891583198	 
98504806	166	543.035308061	475.458623939	523.29364198
98504843	169	5322.46826735	4128.746639006	4812.118662691
98506043	179	 	2440.372146588	 
98506073	180	6271.757945216	4865.913605919	6086.930053553
98506086	173	 	3582.399650771	4481.340579412
98506180	173	 	8838.351866198	11853.124922003
98506201	176	 	3781.790795564	5071.764442887
98506254	172	 	6119.310844967	 
98506341	179	 	2030.079343654	 
98506355	172	5827.71962993	4618.234505673	5382.624412812
98506356	172	5827.71962993	4618.234505673	5382.624412812
98506490	178	 	5618.217476745	7534.598599261
98506495	178	4956.065012942	3490.032199508	4435.562225695
98506528	171	 	3832.123673918	 
98506629	171	3216.660850122	2549.074951168	2970.986649853
98506683	173	4671.331096836	3701.842886887	4314.555675092
98506870	180	 	6362.876621499	 
98506929	171	4808.145250426	3947.612036662	4647.173354297
98506942	179	 	2122.737338544	2568.699237386
98506970	180	6271.757945216	4865.913605919	6086.930053553
98506994	178	 	4838.437833521	5854.936146566
98506995	178	 	713.638282424	858.9837752
98507316	195	8805.08369961	6598.048149301	8052.06265407
98508164	154	3895.007361496	2932.654197614	3619.707260593
98508237	157	8608.817487307	6314.452650226	7547.290447065
98508239	157	6109.825172329	4740.278833385	5929.769418441
98508322	151	 	6524.17228455	7894.823380925
98508421	151	862.571405788	649.452855708	801.604641669
98508633	157	 	4399.279024208	 
98508823	151	7932.128412438	5848.743829295	7384.948759175
98508975	160	23345.941569483	17123.936340013	20467.224685025
98540213	145	 	6764.405160161	 
98540257	142	 	4485.011516003	 
98540656	142	5259.166486356	3940.931726033	4809.396423818
98544206	166	1494.032498928	1218.767913644	1399.086136214
98546321	171	4544.732946845	3265.788721878	4150.56603028
98570080	143	7469.806332882	5919.52248012	6899.295861773
98570081	143	 	1794.052040608	 
98570122	141	2528.139113848	1853.164702206	2277.12134399
98570139	147	5801.945113797	4347.660343323	5305.755988877
98570232	147	 	6450.393647386	7709.772651947
98570233	147	 	5422.243736725	6561.392735006
98570237	147	 	5422.243736725	6561.392735006
98570271	150	7024.775888978	5574.972120149	6562.919974682
98570287	143	 	942.187217268	 
98570374	150	6216.040795302	4671.61837191	5618.359731369
98570385	143	7281.868226145	5888.537223658	6863.182061648
98570386	143	 	6789.210555973	 
98570388	143	 	5085.296120153	7042.50475328
98570399	148	6580.109708817	4826.4225895	5768.736440192
98570423	141	2903.546824384	2300.944620661	2681.786876021
98570474	150	6458.303853212	4759.631953982	5794.052749342
98570722	141	 	1853.164702206	 
98570894	148	5449.855442109	4318.792263859	5033.619805308
98570896	148	5420.149993532	3996.540043252	5046.253399845
98570899	148	 	5811.425030093	7032.336395028
98570914	145	 	5028.724504761	6744.028825242
98570920	141	 	2674.517349187	3196.691836672
98570923	141	3339.819869469	2863.440156166	3123.078432541
98571012	135	4009.136382977	3437.2878057	3748.958884056
98571107	136	4022.824690386	2950.688182791	3526.78244146
98571204	136	 	2115.501313932	 
98571252	132	16080.535317896	11794.857889001	14097.693529614
98571272	140	2829.942577344	2074.391264657	2548.958880403
98571310	135	 	3437.2878057	 
98571311	135	5090.850451524	3734.070814363	4463.113201885
98571316	135	 	3057.138811639	 
98571319	135	2469.145432341	1819.707428747	2215.188260872
98571376	140	 	5673.506797299	 
98571400	136	885.765726003	666.916473675	823.159581492
98571451	132	 	13361.618517513	 
98571466	134	 	4471.441673022	 
98571605	136	 	2742.856249689	3319.097765374
98571653	132	 	13361.618517513	 
98571669	134	 	6037.571382393	7305.993409555
98571908	136	 	1266.383139246	 
98571910	135	 	2708.659803184	3188.664829854
98571911	135	3714.036706627	2943.225406004	3430.375158149
98571917	135	4750.010736637	3502.413796205	4422.34215984
98571963	134	6010.894572927	4763.393314958	5551.809271146
98571971	140	2028.241317929	1607.300047893	1873.333297795
98572077	120	5121.393522349	4058.499341762	4730.244341104
98572163	114	5012.345087455	4297.402483045	4687.06321026
98572171	120	6066.564393487	4814.520476282	5667.707734018
98572173	120	 	3762.777717803	4591.98254567
98572192	118	 	1969.469018556	 
98572228	111	 	2377.584325961	 
98572249	119	 	5212.148166111	 
98572261	114	6425.279568428	4737.670934375	5982.046420455
98572266	114	6425.279568428	4737.670934375	5982.046420455
98572280	113	 	988.926006963	 
98572283	113	 	2315.958164158	2787.645416522
98572284	113	 	1417.190598897	 
98572287	113	1005.235706215	707.881146358	899.662436785
98572288	113	1203.879717724	902.121616841	1100.922517694
98572291	118	2750.06635145	2060.74931479	2514.877463993
98572348	119	6564.156773392	5209.41757891	6132.585051237
98572360	114	5012.345087455	4297.402483045	4687.06321026
98572362	114	6425.279568428	4737.670934375	5982.046420455
98572368	114	 	4673.707195969	5655.597558899
98572373	120	6380.010556167	4676.64548111	5746.542242376
98572377	120	6066.564393487	4814.520476282	5667.707734018
98572379	120	5021.420274387	3762.777717803	4591.98254567
98572448	119	 	5212.148166111	6990.018530625
98572803	116	 	5512.024760816	 
98572808	116	8298.814863357	6119.119572801	7726.340187794
98572876	120	 	1653.397001252	 
98572908	116	 	5575.49138349	 
98572909	116	5708.409216721	4523.685779558	5272.426396501
98572910	115	5920.359835408	4365.369072978	5511.957415087
98572913	115	5920.359835408	4365.369072978	5511.957415087
98572922	111	3017.320486063	2340.973764421	2928.400443424
98572926	111	3312.454359759	2390.472550224	3018.343392849
98572927	111	1812.081967107	1357.87511821	1657.110600107
98572965	114	 	4297.402483045	 
98572980	113	1428.330833391	985.169070789	1364.337041519
98572981	113	1441.331983618	1135.378314419	1373.907811125
98572983	113	1247.919198612	988.926006963	1152.608699494
98572984	113	2233.060417467	1697.973055913	2091.908968506
98572997	118	 	2060.74931479	 
98572999	118	2341.608543547	1726.581795905	2180.078058372
98573012	185	3497.428887909	2578.824315865	3256.16679195
98573017	185	3278.661407613	2456.849539505	2998.266453362
98573019	185	3157.631052796	2449.833051034	3064.576075988
98573097	188	7355.632035188	5423.665029037	6848.220659921
98573110	185	5290.555076276	4022.828894407	4956.139800728
98573112	185	3324.707788462	2712.154640363	3113.42127908
98573116	185	2699.624087487	2363.67605335	2601.481155544
98573213	185	2409.987247778	1909.818414867	2225.923177195
98573411	185	4890.215130484	3850.820386516	4631.220375883
98573530	187	7814.563283302	5731.877799403	6850.973307659
98573617	185	3278.661407613	2456.849539505	2998.266453362
98573892	188	7005.270885027	5249.366862958	6406.171934228
98573894	188	 	4552.845784883	 
98573943	189	 	2639.681217307	3107.462461605
98573955	182	4621.299131717	3462.948817255	4226.08023061
98573958	182	 	4190.117472656	 
98573959	182	4463.901623019	3537.46333291	4122.96873876
98574009	166	1332.257019672	981.844958966	1195.23138321
98574034	167	 	1404.873871677	1945.576164156
98574106	166	6069.726288436	4452.063167174	5321.286843466
98574193	168	8779.849828673	6967.82627482	8202.60357426
98574202	166	 	780.374856009	 
98574218	165	3440.759903783	2726.664479838	3177.970017914
