AID	PTNR_ID	H4TR25	H4TR26	H4TR27Y	H4TR28Y	TSDURATN	H4TR29
90570582	2	5	8	2007	2007	2	7
90570626	1	2	8	1996	9917	145	7
90570626	1	1	1	2000	9917	97	7
90570628	1	2	8	9998	9998	6	7
90570628	2	2	8	9998	2000	48	7
90570628	3	2	8	2007	9917	17	7
90570628	4	4	8	9998	9917	998	7
90570628	5	5	8	2007	9917	17	7
90570655	1	3	8	1998	9917	122	7
90570655	2	3	8	2001	2003	35	7
90570697	1	2	8	2000	9917	87	7
90570697	1	1	1	2001	9917	78	7
90570725	1	2	8	2003	2003	2	7
90570725	2	3	8	1997	1998	12	7
90570778	1	2	8	1998	9917	116	7
90570778	1	1	1	2000	9917	92	7
90570778	2	3	8	1997	1997	6	7
90570820	1	2	8	2002	2002	2	7
90570820	2	2	8	2004	2005	14	7
90570820	3	3	8	2006	2006	3	7
90570820	4	4	8	2007	9917	1	7
90570892	1	2	8	1996	9917	142	7
90570892	1	1	1	1996	9917	139	7
90570992	1	2	8	2001	9917	84	7
90570992	1	1	1	2005	9917	31	7
90571004	1	2	8	2008	9917	1	7
90571069	1	2	8	2007	9917	14	7
90571069	2	2	8	2004	2005	4	7
90571069	3	3	8	2005	2006	9	7
90571074	1	2	8	2005	2006	18	7
90571074	2	2	8	9998	2002	12	7
90571074	3	2	8	2005	9917	36	7
90571074	4	2	8	9998	2003	12	7
90571074	5	2	8	9998	2004	12	7
90571103	1	2	8	2005	9917	32	7
90571103	1	1	1	2006	9917	24	7
90571103	2	2	8	2000	2002	22	7
90571103	3	2	8	2003	2005	21	7
90571107	1	3	8	1999	2001	14	7
90571107	2	3	8	1997	1997	2	7
90571107	3	5	8	2007	2007	3	7
90571208	1	2	8	2005	9917	39	7
90571208	1	1	1	2007	9917	15	7
90571208	2	2	8	2001	2002	14	7
90571210	1	2	8	2001	2002	6	7
90571210	2	2	8	2007	2007	2	7
90571214	1	2	8	2007	9917	13	7
90571217	1	2	8	2005	9917	35	7
90571217	1	1	1	2007	9917	12	7
90571276	1	2	8	1995	2002	132	7
